,Brand,Manufacturer,Item Weight,Country of Origin,Item model number,Batteries,Color,Battery Capacity,rating,price,ASIN,Date First Available,Memory Storage Capacity,Standing screen display size,Ram Memory Installed Size,Product Dimensions,RAM,OS,Connectivity technologies,Other display features,Other camera features,Form Factor,Whats in the box,Weight,Charging Time,
27,UBeesize Selfie Light for Phone,UBeesize,5.9 ounces,China,TBC001,1 Lithium Ion batteries required. (included),,,5.05.0,26,B0C5XMCDX6,22-May-23,,,,3.94 x 3.94 x 3.94 inches,,,,,,,,,,
28,OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7" LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray,?OnePlus,?1.04 pounds,?China,?CPH2513,?1 Lithium Ion batteries required. (included),?Chromatic Gray,?5000,4.34.3,299,,,,,,,,,,,,,,,,
29,Total by Verizon Samsung Galaxy A03s,SAMSUNG,0.8 Pounds,China,TVSAS134DCP,1 Lithium Ion batteries required. (included),,5000 Milliamp Hours,4.04.0,49,B0BBY6DHJ8,26-Sep-22,32 GB,6.51 Inches,3 GB,1.5 x 6.31 x 8.25 inches,,,,,,,,,218 minutes,
30,Google Pixel 6a - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Chalk,Google,6.3 ounces,,GX7AS,1 Lithium Polymer batteries required. (included),Chalk,4410 Milliamp Hours,4.34.3,224,B0B3PQPNKS,18-Jul-22,128 GB,6.13 Inches,6 GB,6 x 2.8 x 0.35 inches,128 GB,Android,"Bluetooth, Wi-Fi, NFC",Wireless,"Rear, Front",Bar,"1m USB-C to USB-C cable (USB 2.0), SIM Tool, Quick Switch Adapter, Cell Phone, Quick Start Guide",178 Grams,111 minutes,
31,Total by Verizon Motorola Moto g Power,MOTOROLA INC,0.8 Pounds,China,TVMTXT2165DCP,1 Lithium Polymer batteries required. (included),,5000 Milliamp Hours,3.93.9,69,B0BBY973TF,26-Sep-22,128 GB,6.52 Inches,4 GB,1.5 x 6.31 x 8.25 inches,,,,,,,,,3 days,
32,Nokia C21 Plus | Android 11 (Go Edition) | Unlocked Smartphone | 2-Day Battery | Dual SIM | 2/64GB | 6.52-Inch Screen | Cyan,HMD Global Oy,6.3 ounces,China,TA-1425,1 Lithium Polymer batteries required. (included),Cyan,4000,5.05.0,99,B0C2T3CDGJ,"April 18, 2023",64 GB,6.52 Inches,2 GB,6.49 x 2.99 x 0.34 inches,2 GB,Android 11.0,"Bluetooth, Wi-Fi, USB",Wireless,"Rear, Front",Slate,"Power Adapter, USB Cable",6.28 Ounces,3 Hours,
33,Total by Verizon BLU View 2,BLU PRODUCTS,12.8 ounces,China,TVBLB131DCP,1 Lithium Ion batteries required. (included),BLACK,3 Milliamp Hours,4.04.0,29,B0BBXPDQ7N,3-Oct-22,32 GB,5.45 Inches,3 GB,1.5 x 6.31 x 8.25 inches,3 GB,Android 11.0,"Bluetooth, Wi-Fi, USB",Wireless,"Rear, Front",Smartphone,"User Manual, Service Guide, Charger, USB Cable",0.8 Pounds,4 Hours,
34,Tracfone Alcatel TCL A3,TCL,6.03 Ounces,China,TFALA509DCP,1 Lithium Ion batteries required. (included),,3000,4.04.0,39,B09CLN4LLN,14-Aug-21,32 GB,5.5 Inches,3 GB,7.25 x 1.65 x 10.25 inches,,,,,,,,,,
35,NUU B15 | Black | 48 MP | Quad-Camera | Unlocked (T-Mobile Only) | 6.78'' Full HD+ Display | 128GB | 90Hz | 18W Fast Charge | 5000 mAh | Fingerprint | Android 11 Wireless Earbuds Buds A,NUU,,,,,black,5000 Milliamp Hours,3.63.6,,B0BL6GWSJ1,2-Nov-22,128 GB,,,,,,Wi-Fi,Wireless,"Rear, Front",Smartphone,"EarBuds, Adapter, USB Cable",,,
36,Nokia XR21 5G | Android 12 | Unlocked Smartphone | Dual SIM | US Version | 6/128GB | 6.49-Inch Screen | 64MP Dual Camera | Midnight Black,HMD Global Oy,8.2 ounces,China,TA-1486,1 Lithium Polymer batteries required. (included),Midnight Black,,5.05.0,499,B0C9NXM214,26-Jun-23,6 GB,6.49 Inches,6 GB,6.61 x 3.09 x 0.41 inches,6 GB,Android 12.0,"Bluetooth, Wi-Fi, USB, NFC",Wireless,"Rear, Front",Slate,"Power Adapter, SIM Tray Ejector, USB Cable",8.15 Ounces,2 Hours,
